timestamp,episode_title,podcast_title,candidate_name,date_posted,status,error_message,output_path,file_size
2024-11-19 12:38:22,A conversation with Kamala Harris,Here's where it gets interesting,Harris,03/19/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_here_s_where_it_gets_interesting_20240319.mp3,10.0M
2024-11-19 12:38:22,Our conversation with KAMALA HARRIS,We can do hard things,Harris,07/22/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_we_can_do_hard_things_20240722.mp3,59.0M
2024-11-19 12:38:22,Katie Couric one-on-one with Vice President Kamala Harris,Next question with Katie Couric,Harris,01/24/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_next_question_with_katie_couric_20240124.mp3,44.6M
2024-11-19 12:38:22,Katie Couric one-on-one with Vice President Kamala Harris,Next question with Katie Couric,Harris,07/22/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_next_question_with_katie_couric_20240722.mp3,44.6M
2024-11-19 12:38:22,Best of the Program | Guests: 'VP Kamala Harris' & Caroline Sunshine | 7/26/24,The Glenn Beck Program,Harris,07/26/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_the_glenn_beck_program_20240726.mp3,54.6M
2024-11-19 12:38:22,Best of the Axe Files: Vice President Kamala Harris,The Axe files with David Axelrod,Harris,08/22/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_the_axe_files_with_david_axelrod_20240822.mp3,58.4M
2024-11-19 12:38:22,Vice President Kamala Harris Interview,All the smoke,Harris,09/30/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_all_the_smoke_20240930.mp3,56.8M
2024-11-19 12:38:22,Vice President Kamala Harris Interview,Call her Daddy,Harris,10/06/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_call_her_daddy_20241006.mp3,56.8M
2024-11-19 12:38:22,10/07/2024: Election Special,60 Minutes,Harris,10/07/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_60_minutes_20241007.mp3,46.7M
2024-11-19 12:38:22,"Tuesday, October 8: Vice President Kamala Harris",The View,Harris,nan,FAILED,No audio URL found,,
2024-11-19 12:38:22,Stephen presents: Kamala Harris,The Late Show Pod with Stephen Colbert,Harris,07/29/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_the_late_show_pod_with_stephen_colbert_20240729.mp3,18.1M
2024-11-19 12:38:22,Vice President Kamala Harris (Extended) | Veep thrills,The Late Show Pod with Stephen Colbert,Harris,10/08/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_the_late_show_pod_with_stephen_colbert_20241008.mp3,38.3M
2024-11-19 12:38:22,We The People: Townhall with Kamala Harris and Charlamange Tha God,"Drink Champs, The Breakfast Club, All the Smoke, Whoreble Decisions, Big Facts, Carefully Reckless, The Gangster Chronicles, Black Effect, Reasonably Shady, Big Facts, Money and Wealth (and likely many others)",Harris,10/18/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,An exclusive interview with Vice President Kamala Harris,The Bret Baier Podcast,Harris,10/16/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_the_bret_baier_podcast_20241016.mp3,40.3M
2024-11-19 12:38:22,Interview with Donald Trump,The Joe Pags Show,Trump,03/05/2024,FAILED,Missing URL,,
2024-11-19 12:38:22,Exclusive: President Trump reacts to new report showing Democrats' Jan 6 panel witheld crucial evidence,John Solomon Reports,Trump,03/11/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,The Donald Trump intervew,Impaulsive with Logan Paul,Trump,06/13/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,"President Trump - January 15, Hour 2",The Sean Hannity Show,Trump,01/15/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,"President Trump - January 22, Hour 2",The Sean Hannity Show,Trump,01/22/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,"President Trump - July 4, Hour 2",The Sean Hannity Show,Trump,07/04/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,THE GREAT AMERICA SATURDAY SHOW WITH PRESIDENT DONALD TRUMP,The Geat America Show,Trump,01/13/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_geat_america_show_20240113.mp3,41.8M
2024-11-19 12:38:22,IMMUNE FROM POLITICAL PERSECUTION,The Geat America Show,Trump,07/02/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_geat_america_show_20240702.mp3,20.4M
2024-11-19 12:38:22,"The Great America Saturday Show: July 6th, 2024",The Geat America Show,Trump,07/06/2024,FAILED,Missing URL,,
2024-11-19 12:38:22,Donald Trump + Tucker Carlson (Carolla Classics),Adam Corolla Show,Trump,07/20/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_adam_corolla_show_20240720.mp3,29.3M
2024-11-19 12:38:22,E526 Donald Trump,This Past Weekend w/ Theo Von,Trump,08/20/2024,FAILED,Missing URL,,
2024-11-19 12:38:22,#127 President Donald J. Trump - Make America Great Again,Shawn Ryan Show,Trump,08/26/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_shawn_ryan_show_20240826.mp3,164.0M
2024-11-19 12:38:22,America Reacts: Dr Phil's Interview with Donald Trump,The Dr. Phil Podcast,Trump,06/11/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,Dr. Phil Gives an Inside Look at the Campaign Trail with Donald Trump,The Dr. Phil Podcast,Trump,09/03/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_dr_phil_podcast_20240903.mp3,77.0M
2024-11-19 12:38:22,#442 - Donald Trump,Lex Fridman Podcast,Trump,09/03/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,President Donald Trump with Howie Carr,The Howie Carr Radio Network,Trump,09/04/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_howie_carr_radio_network_20240904.mp3,20.8M
2024-11-19 12:38:22,Can Trump's Plan clean up America's financial mess?,The Ramsey Show,Trump,10/02/2024,FAILED,Missing URL,,
2024-11-19 12:38:22,The hidden cause of inflation no one is talking about,The Ramsey Show highlights,Trump,10/02/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241002.mp3,2.3M
2024-11-19 12:38:22,Why is Trump so dead-set on tariffs?,The Ramsey Show highlights,Trump,10/02/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241002.mp3,2.3M
2024-11-19 12:38:22,Will Trump's tax plan really help Americans?,The Ramsey Show highlights,Trump,10/03/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241003.mp3,1.4M
2024-11-19 12:38:22,How Trump's family reacted to his assassination attempt,The Ramsey Show highlights,Trump,10/03/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241003.mp3,1.4M
2024-11-19 12:38:22,What Donald Trump Looks For In Leaders,The Ramsey Show highlights,Trump,10/04/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241004.mp3,1.8M
2024-11-19 12:38:22,4 Things Trump Was Most Proud of During His Presidency,The Ramsey Show highlights,Trump,10/04/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241004.mp3,1.8M
2024-11-19 12:38:22,Trump’s 3 Rules for Parenting ,The Ramsey Show highlights,Trump,10/05/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_ramsey_show_highlights_20241005.mp3,3.1M
2024-11-19 12:38:22,Ep. 2062 - Donald Trump Joins The Show! ,The Ben Shapiro Show,Trump,10/08/2024,FAILED,No audio URL found,,
2024-11-19 12:38:22,"Trump On Who Really Tried to Kill Him, Abortion & More ",Andrew Schulz's Flagrant with Akaash Singh,Trump,10/09/2024,FAILED,Missing URL,,
2024-11-19 12:38:23,Donald Trump On How Success Will Unite America + The Future Of Media ,Bussin' with the Boys,Trump,10/15/2024,FAILED,422 Client Error: Unprocessable Entity for url: https://landmark-dynamic.barstoolsports.com/stream/haykzC3vtkwUjcKbJDs8l37P/audio.mp3,,
2024-11-19 12:38:23,Best of the Program | Guest: President Donald Trump | 10/15/24,The Glenn Beck Program,Trump,10/15/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_glenn_beck_program_20241015.mp3,175.8M
2024-11-19 12:38:23,EXCLUSIVE: Trump Opens Up on Threats to His Life by Iranian Government | Guest: President Donald Trump | 10/15/24,The Glenn Beck Program,Trump,10/15/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_glenn_beck_program_20241015.mp3,175.8M
2024-11-19 12:38:23,"The Dan Bongino Sunday Special 02/18/24 - President Trump, Chaya Raichik, Julie Kelly and an epic rant",The Dan Bongino Show,Trump,2/18/2024,FAILED,Missing URL,,
2024-11-19 12:38:23,President Trump Slams Sham Trial: Exclusive Interview,The Dan Bongino Show,Trump,05/29/2024,FAILED,Missing URL,,
2024-11-19 12:38:23,LIVE WIth President Donald Trump ,The Dan Bongino Show,Trump,10/18/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_dan_bongino_show_20241018.mp3,78.6M
2024-11-19 12:38:23,Donald Trump Talks Pro Wrestling and What’s at Stake in 2024 | Six Feet Under #36 Part 1 ,Six feet under with Mark Callaway,Trump,10/21/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_six_feet_under_with_mark_callaway_20241021.mp3,27.8M
2024-11-19 12:38:23,Donald Trump Talks Pro Wrestling and What’s at Stake in 2024 | Six Feet Under #36 Part 2 ,Six feet under with Mark Callaway,Trump,10/21/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_six_feet_under_with_mark_callaway_20241021.mp3,27.8M
2024-11-19 12:38:23,#2219 - Donald Trump,The Joe Rogan Experience,Trump,10/25/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_the_joe_rogan_experience_20241025.mp3,144.9M
2024-11-19 12:38:23,Brian's extended FOX & Friends interview with former president Donald Trump ,Brian Kilmeade Show,Trump,03/29/2024,FAILED,Missing URL,,
2024-11-19 12:38:23,Donald Trump on the Brian Kilmeade Show - Full Interview,Brian Kilmeade Show,Trump,03/10/2024,FAILED,Missing URL,,
2024-11-19 12:38:23,LISTEN: Brian's full interview with DONALD TRUMP on 'One Nation' ,Brian Kilmeade Show,Trump,09/23/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_brian_kilmeade_show_20240923.mp3,9.7M
2024-11-19 12:38:23,Donald Trump: I'll Be Voting Early ,Brian Kilmeade Show,Trump,10/23/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_brian_kilmeade_show_20241023.mp3,45.3M
2024-11-19 12:38:23,Donald Trump Joins Brian to discuss early voting and top priorities if re-elected ,Brian Kilmeade Show,Trump,10/23/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_trump_brian_kilmeade_show_20241023.mp3,45.3M
2024-11-19 12:38:23,"Kamala Harris, Mr. Baseball, Leonardo daVinci ",CBS News Sunday Morning with Jane Pauley,Harris,10/27/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_cbs_news_sunday_morning_with_jane_pauley_20241027.mp3,47.4M
2024-11-19 12:38:23,Kamala Harris,"Nightcap, Club Shay Shay",Harris,10/27/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_nightcap_club_shay_shay_20241027.mp3,22.3M
2024-11-19 12:38:23,VP Kamala Harris on Courageous Leadership and Winning in 2024 ,Unlocking Us with Brene Brown,Harris,10/28/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_unlocking_us_with_brene_brown_20241028.mp3,142.5M
2024-11-19 12:38:23,"INTERVIEW: Kamala Harris Calls In To Talk Trump's Anti-Trans Ads, Policy Plans, Undecided Voters, Earning Votes + More ","The Breakfast Club, Drink Champs, All the Smoke, Whoreble Decisions, Big Facts, Carefully Reckless, The Gangster Chronicles, Black Effect, Reasonably Shady, Big Facts, Money and Wealth (and likely many others)",Harris,10/29/2024,SKIPPED,Already downloaded,podcasts/applepodcasts_harris_the_breakfast_club_drink_champs_all_the_smoke_whoreble_decisions_big_facts_carefully_reckless_the_gangster_chronicles_black_effect_reasonably_shady_big_facts_money_and_wealth_and_likely_many_others_20241029.mp3,24.3M
